
[T3][23/100] Loss=6.13511074334383e-05, Acc= 0.9973733891488139
[T3][24/100] Loss=5.9199814131716266e-05, Acc= 0.9974554707379135
[T3][25/100] Loss=5.722846617572941e-05, Acc= 0.9974554707379135
[T3][26/100] Loss=5.5416527175111696e-05, Acc= 0.9974554707379135
[T3][27/100] Loss=5.3744814067613333e-05, Acc= 0.997537552327013
[T3][28/100] Loss=5.219609010964632e-05, Acc= 0.997537552327013
[T3][29/100] Loss=5.075770241091959e-05, Acc= 0.9976196339161126
[T3][30/100] Loss=4.941831866744906e-05, Acc= 0.9976196339161126
[T3][31/100] Loss=4.816752334591001e-05, Acc= 0.9976196339161126
[T3][32/100] Loss=4.699617056758143e-05, Acc= 0.9977017155052121
[T3][33/100] Loss=4.58957911178004e-05, Acc= 0.9979479602725109
[T3][34/100] Loss=4.4860789785161614e-05, Acc= 0.9979479602725109
[T3][35/100] Loss=4.3885735067306086e-05, Acc= 0.9979479602725109
[T3][36/100] Loss=4.2964773456333205e-05, Acc= 0.9979479602725109
[T3][37/100] Loss=4.209345206618309e-05, Acc= 0.9979479602725109
[T3][38/100] Loss=4.1267187043558806e-05, Acc= 0.9979479602725109
[T3][39/100] Loss=4.0482271288055927e-05, Acc= 0.9979479602725109
[T3][40/100] Loss=3.973570710513741e-05, Acc= 0.9979479602725109
[T3][41/100] Loss=3.902426760760136e-05, Acc= 0.9980300418616105
[T3][42/100] Loss=3.8345882785506546e-05, Acc= 0.99811212345071
[T3][43/100] Loss=3.769788600038737e-05, Acc= 0.9981942050398096
[T3][44/100] Loss=3.707796349772252e-05, Acc= 0.9981942050398096
[T3][45/100] Loss=3.6484543670667335e-05, Acc= 0.9981942050398096
[T3][46/100] Loss=3.591588028939441e-05, Acc= 0.9981942050398096
[T3][47/100] Loss=3.537025622790679e-05, Acc= 0.9982762866289091
[T3][48/100] Loss=3.4845827030949295e-05, Acc= 0.9982762866289091
[T3][49/100] Loss=3.434144309721887e-05, Acc= 0.9982762866289091
[T3][50/100] Loss=3.385618401807733e-05, Acc= 0.9982762866289091
[T3][51/100] Loss=3.338865644764155e-05, Acc= 0.9983583682180087
[T3][52/100] Loss=3.29378126480151e-05, Acc= 0.9983583682180087
[T3][53/100] Loss=3.250258305342868e-05, Acc= 0.9983583682180087
[T3][54/100] Loss=3.208196721971035e-05, Acc= 0.9983583682180087
[T3][55/100] Loss=3.1675241189077497e-05, Acc= 0.9984404498071082
[T3][56/100] Loss=3.128191383439116e-05, Acc= 0.9984404498071082
[T3][57/100] Loss=3.090069003519602e-05, Acc= 0.9984404498071082
[T3][58/100] Loss=3.0531457014149055e-05, Acc= 0.9985225313962078
[T3][59/100] Loss=3.0173208870110102e-05, Acc= 0.9985225313962078
[T3][60/100] Loss=2.9825550882378593e-05, Acc= 0.9985225313962078
[T3][61/100] Loss=2.9487686333595775e-05, Acc= 0.9985225313962078
[T3][62/100] Loss=2.9159446057747118e-05, Acc= 0.9985225313962078
[T3][63/100] Loss=2.8839927836088464e-05, Acc= 0.9986046129853074
[T3][64/100] Loss=2.8529164410429075e-05, Acc= 0.9986046129853074
[T3][65/100] Loss=2.8226872018422e-05, Acc= 0.9986046129853074
[T3][66/100] Loss=2.7932330340263434e-05, Acc= 0.9986046129853074
[T3][67/100] Loss=2.7645244699670002e-05, Acc= 0.9986046129853074
[T3][68/100] Loss=2.736551505222451e-05, Acc= 0.9986046129853074
[T3][69/100] Loss=2.7092664822703227e-05, Acc= 0.9985225313962078
[T3][70/100] Loss=2.682653212104924e-05, Acc= 0.9985225313962078
[T3][71/100] Loss=2.6566669475869276e-05, Acc= 0.9985225313962078
[T3][72/100] Loss=2.6313065973226912e-05, Acc= 0.9985225313962078
[T3][73/100] Loss=2.6065201382152736e-05, Acc= 0.9985225313962078
[T3][74/100] Loss=2.5822992029134184e-05, Acc= 0.9985225313962078
[T3][75/100] Loss=2.5586246920283884e-05, Acc= 0.9985225313962078
[T3][76/100] Loss=2.5354633180540986e-05, Acc= 0.9985225313962078
